Generation;PopBestRed;PopBestBlue;PopAvgRed;PopAvgBlue;BestOverallRed;BestOverallBlue
0;404,438;0;381,0116;0;404,438;0
1;1298,834;0;1211,533;0;1298,834;0
2;733,6736;0;647,6588;0;733,6736;0
3;2486,819;0;1662,661;0;2486,819;0
4;730,0774;0;562,4819;0;730,0774;0
5;1222,553;0;663,4344;0;1222,553;0
6;5175,289;0;3021,917;0;5175,289;0
7;1278,5;0;611,037;0;1278,5;0
8;585,0558;0;492,8297;0;585,0558;0
9;5316,875;0;2886,848;0;5316,875;0
10;409,3651;0;388,1634;0;409,3651;0
11;1361,961;0;1195,235;0;1361,961;0
12;435,5095;0;408,4481;0;435,5095;0
13;422,295;0;395,9104;0;422,295;0
14;891,1214;0;707,181;0;891,1214;0
15;868,4807;0;719,2032;0;868,4807;0
16;435,5699;0;418,7618;0;435,5699;0
17;725,9511;0;451,6482;0;725,9511;0
18;1215,644;0;497,9615;0;1215,644;0
19;610,6598;0;518,5464;0;610,6598;0
20;860,1246;0;728,1105;0;860,1246;0
21;483,1961;0;382,5158;0;483,1961;0
22;556,0045;0;496,5879;0;556,0045;0
23;1332,284;0;1202,511;0;1332,284;0
24;1367,237;0;1053,382;0;1367,237;0
25;468,166;0;428,5401;0;468,166;0
26;1359,761;0;1133,91;0;1359,761;0
27;416,2754;0;395,8427;0;416,2754;0
28;878,8829;0;638,6597;0;878,8829;0
29;513,7084;0;472,9388;0;513,7084;0
30;470,8606;0;439,9092;0;470,8606;0
31;4025,479;0;1530,205;0;4025,479;0
32;849,8612;0;766,3622;0;849,8612;0
33;450,9384;0;422,4521;0;450,9384;0
34;456,5354;0;426,2775;0;456,5354;0
35;608,5799;0;555,297;0;608,5799;0
36;516,5303;0;476,871;0;516,5303;0
37;577,3704;0;504,0079;0;577,3704;0
38;459,8;0;432,5468;0;459,8;0
39;445,1656;0;423,1246;0;445,1656;0
40;738,9509;0;640,0002;0;738,9509;0
41;448,0151;0;421,1304;0;448,0151;0
42;409,1047;0;393,4304;0;409,1047;0
43;448,0969;0;429,3448;0;448,0969;0
44;921,847;0;815,5863;0;921,847;0
45;427,8458;0;410,0107;0;427,8458;0
46;637,2791;0;586,5221;0;637,2791;0
47;406,9676;0;392,4948;0;406,9676;0
48;571,2707;0;523,3173;0;571,2707;0
49;470,3535;0;447,9024;0;470,3535;0
50;444,3127;0;425,1119;0;444,3127;0
51;1327,241;0;1192,06;0;1327,241;0
52;1365,294;0;1217,824;0;1365,294;0
53;431,0835;0;411,3529;0;431,0835;0
54;424,8001;0;405,3066;0;424,8001;0
55;1406,576;0;1207,867;0;1406,576;0
56;458,042;0;435,1899;0;458,042;0
57;526,384;0;492,8967;0;526,384;0
58;403,6482;0;376,1474;0;403,6482;0
59;459,5977;0;435,3354;0;459,5977;0
60;563,872;0;507,8603;0;563,872;0
61;2505,75;0;1460,719;0;2505,75;0
62;442,0181;0;425,1911;0;442,0181;0
63;489,9821;0;465,0192;0;489,9821;0
64;441,8842;0;422,2857;0;441,8842;0
65;410,8557;0;393,5834;0;410,8557;0
66;1390,223;0;1183,874;0;1390,223;0
67;5179,07;0;3010,58;0;5179,07;0
68;456,0837;0;443,666;0;456,0837;0
69;561,1697;0;522,5865;0;561,1697;0
70;589,6908;0;559,9564;0;589,6908;0
71;440,6301;0;426,7463;0;440,6301;0
72;449,7902;0;439,5599;0;449,7902;0
73;4028,448;0;1980,443;0;4028,448;0
74;445,6823;0;432,5145;0;445,6823;0
75;665,933;0;596,8556;0;665,933;0
76;432,5445;0;419,6222;0;432,5445;0
