Generation;PopBestRed;PopBestBlue;PopAvgRed;PopAvgBlue;BestOverallRed;BestOverallBlue
0;5347,576;0;2404,22;0;5347,576;0
1;4132,417;0;2268,52;0;4132,417;0
2;2642,958;0;1841,581;0;2642,958;0
3;2574,534;0;1754,758;0;2574,534;0
4;5212,589;0;1414,502;0;5212,589;0
5;2741,46;0;1685,826;0;2741,46;0
6;5349,76;0;4177,417;0;5349,76;0
7;5259,485;0;2171,103;0;5259,485;0
8;2590,433;0;1901,645;0;2590,433;0
9;6721,064;0;3966,157;0;6721,064;0
10;2587,75;0;2276,531;0;2587,75;0
11;5238,078;0;1856,574;0;5238,078;0
12;2599,548;0;2054,535;0;2599,548;0
13;5322,327;0;1878,137;0;5322,327;0
14;2811,028;0;1224,885;0;2811,028;0
15;2793,065;0;1806,087;0;2793,065;0
16;4055,84;0;2158,997;0;4055,84;0
17;5206,033;0;2180,546;0;5206,033;0
18;5273,478;0;2545,689;0;5273,478;0
19;2619,313;0;2087,697;0;2619,313;0
20;2795,331;0;1423,588;0;2795,331;0
21;5202,479;0;2215,955;0;5202,479;0
22;2652,902;0;2171,202;0;2652,902;0
23;2657,448;0;1917,202;0;2657,448;0
24;4119,317;0;1974,708;0;4119,317;0
25;5337,582;0;2170,897;0;5337,582;0
26;2661,903;0;2186,752;0;2661,903;0
27;2606,509;0;2184,206;0;2606,509;0
28;6700,099;0;2522,78;0;6700,099;0
29;2634,656;0;2074,832;0;2634,656;0
30;4076,33;0;1869,387;0;4076,33;0
31;5345,273;0;3582,457;0;5345,273;0
32;2573,667;0;909,1639;0;2573,667;0
33;2607,711;0;1820,223;0;2607,711;0
34;5313,114;0;2304,61;0;5313,114;0
35;2637,945;0;1949,278;0;2637,945;0
36;5215,738;0;2031,418;0;5215,738;0
37;4148,564;0;2177,842;0;4148,564;0
38;4185,906;0;2071,255;0;4185,906;0
39;2587,49;0;2347,41;0;2587,49;0
40;5280,42;0;2421,102;0;5280,42;0
41;2598,501;0;1983,568;0;2598,501;0
42;2566,709;0;2221,785;0;2566,709;0
43;2589,47;0;1946,592;0;2589,47;0
44;5365,497;0;2346,872;0;5365,497;0
45;5253,024;0;2005,142;0;5253,024;0
46;5253,391;0;2036,591;0;5253,391;0
47;2571,707;0;2044,22;0;2571,707;0
48;4213,239;0;2175,667;0;4213,239;0
49;2603,419;0;2297,117;0;2603,419;0
