Generation;PopBestRed;PopBestBlue;PopAvgRed;PopAvgBlue;BestOverallRed;BestOverallBlue
0;2775,418;0;-469,3814;0;2775,418;0
1;5434,247;0;1800,519;0;5434,247;0
2;-3697,955;0;-16325,63;0;-3697,955;0
3;1698,562;0;-13893,31;0;1698,562;0
4;-16142,39;0;-16653,34;0;-16142,39;0
5;-18464,52;0;-19177,36;0;-18464,52;0
6;-16360,21;0;-16826,41;0;-16360,21;0
7;5632,5;0;2240,904;0;5632,5;0
8;650,4708;0;-10462,88;0;650,4708;0
9;-21281,95;0;-21740,01;0;-21281,95;0
10;-1092,165;0;-16946,27;0;-1092,165;0
11;3352,746;0;1715,019;0;3352,746;0
12;726,1;0;-12747,03;0;726,1;0
13;3250,213;0;-5796,809;0;3250,213;0
14;834,8826;0;-341,2979;0;834,8826;0
15;827,3591;0;-9394,19;0;827,3591;0
16;3401,545;0;-1231,117;0;3401,545;0
17;694,3016;0;-1622,5;0;694,3016;0
18;733,7114;0;-14788,31;0;733,7114;0
19;-16343,63;0;-16808,8;0;-16343,63;0
20;-1833,867;0;-15621,51;0;-1833,867;0
21;-18729,99;0;-19219,91;0;-18729,99;0
22;3430,868;0;2930,268;0;3430,868;0
23;3262,938;0;2251,991;0;3262,938;0
24;-10593,26;0;-25368,62;0;-10593,26;0
25;3350,618;0;2170,267;0;3350,618;0
26;-16366,06;0;-16713,54;0;-16366,06;0
27;-14985,39;0;-25787,27;0;-14985,39;0

