Generation;PopBestRed;PopBestBlue;PopAvgRed;PopAvgBlue;BestOverallRed;BestOverallBlue
0;718,0521;0;393,2932;0;718,0521;0
1;3577,968;0;512,61;0;3577,968;0
2;4101,586;0;592,4254;0;4101,586;0
3;4124,561;0;879,32;0;4124,561;0
4;4105,261;0;857,0941;0;4124,561;0
5;4102,659;0;1179,642;0;4124,561;0
6;5218,666;0;1930,284;0;5218,666;0
7;5236,605;0;2476,789;0;5236,605;0
8;5236,6;0;2437,847;0;5236,605;0
9;4082,341;0;2579,387;0;5236,605;0
10;4267,712;0;2703,554;0;5236,605;0
11;4278,459;0;2134,797;0;5236,605;0
12;5236,556;0;2448,958;0;5236,605;0
13;5256,309;0;3123,438;0;5256,309;0
14;4120,474;0;2869,485;0;5256,309;0
15;5258,573;0;3116,067;0;5258,573;0
16;5258,528;0;2947,209;0;5258,573;0
17;5298,754;0;3119,992;0;5298,754;0
18;5298,754;0;2937,607;0;5298,754;0
19;5298,754;0;3249,483;0;5298,754;0
20;5258,528;0;3175,383;0;5298,754;0
21;5258,528;0;3054,417;0;5298,754;0
22;5298,754;0;3196,023;0;5298,754;0
23;5442,941;0;3491,112;0;5442,941;0
24;5442,953;0;2991,496;0;5442,953;0
25;5435,112;0;3119,022;0;5442,953;0
26;5435,113;0;3215,359;0;5442,953;0
27;5442,953;0;3145,928;0;5442,953;0
28;5442,953;0;3259,305;0;5442,953;0
29;5435,113;0;2966,387;0;5442,953;0
30;5435,113;0;3194,498;0;5442,953;0
31;5442,953;0;3051,324;0;5442,953;0
32;5442,953;0;3397,472;0;5442,953;0
33;5426,346;0;2940,824;0;5442,953;0
34;5435,113;0;2989,282;0;5442,953;0
35;5435,113;0;3451,148;0;5442,953;0
36;5442,953;0;3159,74;0;5442,953;0
37;5435,113;0;2990,701;0;5442,953;0
38;5435,112;0;3090,974;0;5442,953;0
39;5435,113;0;3322,136;0;5442,953;0
40;4274,168;0;2753,348;0;5442,953;0
41;5435,125;0;3141,744;0;5442,953;0
42;5429,112;0;2661,21;0;5442,953;0
43;4292,777;0;2667,577;0;5442,953;0
44;5442,953;0;2837,57;0;5442,953;0
45;5435,113;0;3095,647;0;5442,953;0
46;5435,112;0;3143,701;0;5442,953;0
47;5442,953;0;2761,896;0;5442,953;0
48;5442,953;0;3300,072;0;5442,953;0
49;5435,112;0;2850,21;0;5442,953;0
50;5435,113;0;3067,964;0;5442,953;0
51;5442,953;0;3129,25;0;5442,953;0
52;5442,953;0;3295,934;0;5442,953;0
53;5435,113;0;3432,629;0;5442,953;0
54;5435,112;0;3260,801;0;5442,953;0
55;5435,113;0;3093,776;0;5442,953;0
56;5442,953;0;2886,069;0;5442,953;0
57;5435,113;0;2909,999;0;5442,953;0
58;5435,112;0;3508,491;0;5442,953;0
59;5435,113;0;3083,511;0;5442,953;0
60;5442,953;0;3377,722;0;5442,953;0
61;5435,113;0;3203,13;0;5442,953;0
62;5435,113;0;3303,912;0;5442,953;0
63;5435,112;0;2609,315;0;5442,953;0
64;5442,953;0;2623,044;0;5442,953;0
65;5435,112;0;2913,748;0;5442,953;0
66;5435,113;0;3571,398;0;5442,953;0
67;5442,953;0;3367,055;0;5442,953;0
68;5442,953;0;3219,891;0;5442,953;0
69;5435,113;0;3203,717;0;5442,953;0
70;5435,113;0;3255,937;0;5442,953;0
71;5442,953;0;3466,869;0;5442,953;0
72;5442,953;0;3444,546;0;5442,953;0
73;5435,112;0;3147,214;0;5442,953;0
74;5435,113;0;3092,333;0;5442,953;0
75;5435,113;0;3026,979;0;5442,953;0
76;5442,953;0;3479,697;0;5442,953;0
77;5435,112;0;3591,311;0;5442,953;0
78;5435,112;0;3395,491;0;5442,953;0
79;5435,112;0;3557,256;0;5442,953;0
80;5442,953;0;3109,217;0;5442,953;0
81;5435,112;0;3277,641;0;5442,953;0
82;5435,347;0;3120,038;0;5442,953;0
83;5435,112;0;3115,027;0;5442,953;0
84;5442,953;0;3025,894;0;5442,953;0
85;5435,112;0;3157,106;0;5442,953;0
86;5456,506;0;3486,379;0;5456,506;0
87;5429,329;0;3106,18;0;5456,506;0
88;5429,329;0;3008,45;0;5456,506;0
89;5456,51;0;3459,463;0;5456,51;0
90;5456,51;0;3341,484;0;5456,51;0
91;5429,329;0;3586,05;0;5456,51;0
92;5429,329;0;3209,319;0;5456,51;0
93;5456,51;0;3232,43;0;5456,51;0
94;5456,51;0;3053,459;0;5456,51;0
95;5456,51;0;2530,06;0;5456,51;0
96;5429,329;0;3334,885;0;5456,51;0
97;5456,51;0;3062,813;0;5456,51;0
98;5456,51;0;3433,975;0;5456,51;0
99;5456,51;0;2826,599;0;5456,51;0
100;5456,51;0;2826,599;0;5456,51;0
