Generation;PopBestRed;PopBestBlue;PopAvgRed;PopAvgBlue;BestOverallRed;BestOverallBlue
0;714,3351;0;377,5232;0;714,3351;0
1;728,5064;0;434,2843;0;728,5064;0
2;4081,007;0;656,4644;0;4081,007;0
3;4081,006;0;724,3567;0;4081,007;0
4;4081,51;0;1285,891;0;4081,51;0
5;4092,586;0;1599,806;0;4092,586;0
6;4092,139;0;2316,771;0;4092,586;0
7;4092,728;0;3256,135;0;4092,728;0
8;4099,506;0;3716,466;0;4099,506;0
9;4109,019;0;4021,33;0;4109,019;0
10;4108,986;0;3787,749;0;4109,019;0
11;4118,345;0;3798,83;0;4118,345;0
12;4127,455;0;3798,284;0;4127,455;0
13;4127,244;0;3834,489;0;4127,455;0
14;4127,183;0;2916,409;0;4127,455;0
15;4118,561;0;3507,271;0;4127,455;0
16;5248,383;0;3804,519;0;5248,383;0
17;5263,07;0;4100,068;0;5263,07;0
18;5263,488;0;2248,908;0;5263,488;0
19;5263,07;0;4089,552;0;5263,488;0
20;5248,618;0;4330,404;0;5263,488;0
21;5263,512;0;3078,68;0;5263,512;0
22;5263,68;0;3810,651;0;5263,68;0
23;5263,902;0;4638,509;0;5263,902;0
24;5264,655;0;5005,118;0;5264,655;0
25;5264,944;0;5207,968;0;5264,944;0
26;5264,944;0;5235,56;0;5264,944;0
27;5265,89;0;5115,022;0;5265,89;0
28;5265,897;0;5200,997;0;5265,897;0
29;5264,966;0;5141,984;0;5265,897;0
30;5264,966;0;5263,905;0;5265,897;0
31;5265,897;0;5237,551;0;5265,897;0
32;5265,897;0;5265,009;0;5265,897;0
33;5264,966;0;5264,015;0;5265,897;0
34;5264,966;0;5263,99;0;5265,897;0
35;5265,897;0;5237,317;0;5265,897;0
36;5265,897;0;5237,063;0;5265,897;0
37;5264,966;0;5143,582;0;5265,897;0
38;5264,966;0;5235,822;0;5265,897;0
39;5265,897;0;5264,983;0;5265,897;0
40;5265,897;0;5265,009;0;5265,897;0
41;4102,624;0;4035,754;0;5265,897;0
42;5264,966;0;5264,087;0;5265,897;0
43;5265,897;0;5237,132;0;5265,897;0
44;5265,897;0;5265,009;0;5265,897;0
45;5264,966;0;5170,303;0;5265,897;0
46;5264,966;0;5235,276;0;5265,897;0
47;5265,897;0;5265,009;0;5265,897;0
48;5265,897;0;5237,265;0;5265,897;0
49;5264,97;0;5236,359;0;5265,897;0
50;5265,633;0;5264,018;0;5265,897;0
51;5265,897;0;5263,767;0;5265,897;0
52;5265,897;0;5263,799;0;5265,897;0
53;5264,97;0;5236,693;0;5265,897;0
54;5264,97;0;5263,997;0;5265,897;0
55;5265,897;0;5236,509;0;5265,897;0
56;5265,897;0;5265,01;0;5265,897;0
57;5264,97;0;5170,748;0;5265,897;0
58;5264,97;0;5263,989;0;5265,897;0
59;5265,899;0;5264,983;0;5265,899;0
60;5265,899;0;5236,806;0;5265,899;0
61;5265,591;0;5169,637;0;5265,899;0
62;5264,97;0;5170,346;0;5265,899;0
63;5265,899;0;5264,149;0;5265,899;0
64;5265,899;0;5170,965;0;5265,899;0
65;5264,97;0;5235,857;0;5265,899;0
66;5264,97;0;5114,812;0;5265,899;0
67;5265,899;0;5236,499;0;5265,899;0
68;5265,899;0;5265,009;0;5265,899;0
69;5264,97;0;5264,022;0;5265,899;0
70;5264,97;0;5197,625;0;5265,899;0
71;5265,899;0;5265,01;0;5265,899;0
72;5265,893;0;5170,708;0;5265,899;0
73;5264,97;0;5264,047;0;5265,899;0
74;5264,97;0;5142,01;0;5265,899;0
75;5265,899;0;5264,837;0;5265,899;0
76;5265,899;0;5199,999;0;5265,899;0
77;5264,97;0;5264,047;0;5265,899;0
78;5264,97;0;5224,027;0;5265,899;0
79;5265,899;0;5143,053;0;5265,899;0
80;5265,899;0;5265,009;0;5265,899;0
81;5264,97;0;5263,712;0;5265,899;0
82;5265,411;0;5236,829;0;5265,899;0
83;5265,899;0;5201,655;0;5265,899;0
84;5265,899;0;5236,962;0;5265,899;0
85;5264,97;0;5169,721;0;5265,899;0
86;5264,97;0;5169,756;0;5265,899;0
87;5265,899;0;5264,983;0;5265,899;0
88;5248,35;0;5247,744;0;5265,899;0
89;5264,97;0;5264,022;0;5265,899;0
90;5264,979;0;5093,493;0;5265,899;0
91;5265,899;0;5056,277;0;5265,899;0
92;5265,899;0;5265,009;0;5265,899;0
93;5264,97;0;5264,01;0;5265,899;0
94;5264,97;0;5263,998;0;5265,899;0
95;5265,899;0;5264,958;0;5265,899;0
96;5265,899;0;5264,621;0;5265,899;0
97;5264,97;0;5263,705;0;5265,899;0
98;5264,97;0;5263,997;0;5265,899;0
99;5265,899;0;5264,138;0;5265,899;0
100;5265,899;0;5264,138;0;5265,899;0
