Generation;PopBestRed;PopBestBlue;PopAvgRed;PopAvgBlue;BestOverallRed;BestOverallBlue
0;2981,539;0;2190,271;0;2981,539;0
1;2990,558;0;2247,404;0;2990,558;0
2;2989,528;0;2274,36;0;2990,558;0
3;3656,843;0;2294,1;0;3656,843;0
4;3656,953;0;2324,175;0;3656,953;0
5;4113,186;0;2676,179;0;4113,186;0
6;4596,271;0;2855,616;0;4596,271;0
7;5711,99;0;3342,913;0;5711,99;0
8;5712,05;0;3700,404;0;5712,05;0
9;5333,774;0;3825,728;0;5712,05;0
10;5291,283;0;3987,48;0;5712,05;0
11;5722,96;0;4170,493;0;5722,96;0
12;5724,203;0;4132,944;0;5724,203;0
13;5724,165;0;3822,072;0;5724,203;0
14;5722,127;0;4044,74;0;5724,203;0
15;5743,988;0;4186,75;0;5743,988;0
16;5752,232;0;4149,895;0;5752,232;0
17;5419,357;0;4123,838;0;5752,232;0
18;5330,092;0;4186,478;0;5752,232;0
19;5721,968;0;4197,904;0;5752,232;0
20;5752,685;0;4148,028;0;5752,685;0
21;5752,744;0;4212,542;0;5752,744;0
22;5352,604;0;4010,115;0;5752,744;0
23;5752,964;0;4317,417;0;5752,964;0
24;5755,86;0;4388,021;0;5755,86;0
25;5747,449;0;3923,269;0;5755,86;0
26;5748,614;0;3626,464;0;5755,86;0
27;5755,867;0;4062,051;0;5755,867;0
28;5755,922;0;3655,719;0;5755,922;0
29;5648,133;0;4104,142;0;5755,922;0
30;5729,861;0;3979,858;0;5755,922;0
31;5755,921;0;3804,225;0;5755,922;0
32;5755,921;0;3953,381;0;5755,922;0
33;5745,759;0;3878,912;0;5755,922;0
34;5746,813;0;4028,761;0;5755,922;0
35;5337,32;0;3935,683;0;5755,922;0
36;5755,921;0;4318,612;0;5755,922;0
37;5745,003;0;4195,617;0;5755,922;0
38;5719,824;0;3901,803;0;5755,922;0
39;5748,594;0;4135,763;0;5755,922;0
40;5755,922;0;4287,703;0;5755,922;0
41;5752,355;0;4168,708;0;5755,922;0
42;5746,788;0;3921,166;0;5755,922;0
43;5755,922;0;4077,05;0;5755,922;0
44;5755,921;0;3897,271;0;5755,922;0
45;5711,495;0;4103,953;0;5755,922;0
46;5748,052;0;3464,019;0;5755,922;0
47;5755,921;0;3975,32;0;5755,922;0
48;5755,921;0;3936,563;0;5755,922;0
49;5716,458;0;4211,493;0;5755,922;0
50;5524,774;0;3936,171;0;5755,922;0
51;5755,921;0;3999,006;0;5755,922;0
52;5755,921;0;4288,191;0;5755,922;0
53;5748,911;0;3865,605;0;5755,922;0
54;5748,725;0;4107,671;0;5755,922;0
55;5756,012;0;4146,376;0;5756,012;0
56;5756,005;0;4453,004;0;5756,012;0
57;5725,083;0;4039,743;0;5756,012;0
58;5732,406;0;4059,508;0;5756,012;0
59;5745,71;0;4252,896;0;5756,012;0
60;5756,005;0;4377,379;0;5756,012;0
61;5749,413;0;4372,944;0;5756,012;0
62;5726,892;0;4342,681;0;5756,012;0
63;5276,265;0;4042,612;0;5756,012;0
64;5756,005;0;4289,47;0;5756,012;0
65;5752,283;0;4031,391;0;5756,012;0
66;5748,298;0;3871,288;0;5756,012;0
67;5756,018;0;4236,908;0;5756,018;0
68;5757,604;0;4150,575;0;5757,604;0
69;5746,354;0;3864,279;0;5757,604;0
70;5749,019;0;4460,551;0;5757,604;0
71;5757,622;0;4161,87;0;5757,622;0
72;5757,622;0;4267,308;0;5757,622;0
73;5746,354;0;4350,182;0;5757,622;0
74;5746,354;0;3662,319;0;5757,622;0
75;5747,103;0;4166,299;0;5757,622;0
76;5757,622;0;4424,133;0;5757,622;0
77;5746,354;0;4302,323;0;5757,622;0
78;5746,354;0;4140,405;0;5757,622;0
79;5760,495;0;4216,044;0;5760,495;0
80;5760,479;0;4241,766;0;5760,495;0
81;5377,908;0;4064,867;0;5760,495;0
82;5711,188;0;4489,139;0;5760,495;0
83;5742,133;0;4336,219;0;5760,495;0
84;5760,479;0;4273,445;0;5760,495;0
85;5333,338;0;4118,931;0;5760,495;0
86;5354,086;0;4213,079;0;5760,495;0
87;5760,479;0;4177,711;0;5760,495;0
88;5760,479;0;3991,531;0;5760,495;0
89;5745,838;0;4338,291;0;5760,495;0
90;5738,284;0;3753,314;0;5760,495;0
91;5760,479;0;3778,169;0;5760,495;0
92;5752,175;0;3987,918;0;5760,495;0
93;5731,875;0;3798,616;0;5760,495;0
94;5435,729;0;3890,551;0;5760,495;0
95;5718,569;0;4013,842;0;5760,495;0
96;5760,479;0;4261,694;0;5760,495;0
97;5718,428;0;3876,739;0;5760,495;0
98;5731,617;0;3793,043;0;5760,495;0
99;5758,378;0;4279,81;0;5760,495;0
100;5758,378;0;4279,81;0;5760,495;0

