Generation;PopBestRed;PopBestBlue;PopAvgRed;PopAvgBlue;BestOverallRed;BestOverallBlue
0;2925,531;0;2431,383;0;2925,531;0
1;5523,24;0;2612,143;0;5523,24;0
2;2912,166;0;2540,793;0;2912,166;0
3;6890,863;0;4318,206;0;6890,863;0
4;5367,762;0;1985,388;0;5367,762;0
5;5456,898;0;2868,47;0;5456,898;0
6;4241,018;0;1936,699;0;4241,018;0
7;5395,188;0;2397,155;0;5395,188;0
8;5398,824;0;2089,658;0;5398,824;0
9;4294,219;0;1509,284;0;4294,219;0
10;4283,127;0;1877,623;0;4283,127;0
11;5354,661;0;2249,22;0;5354,661;0
12;5400,918;0;2588,225;0;5400,918;0
13;5349,41;0;2217,181;0;5349,41;0
14;5554,51;0;2979,836;0;5554,51;0
15;2958,151;0;2775,405;0;2958,151;0
16;5513,419;0;2552,795;0;5513,419;0
17;4204,738;0;2216,478;0;4204,738;0
18;5365,472;0;2767,638;0;5365,472;0
19;5373,569;0;2440,362;0;5373,569;0
20;2720,816;0;2328,302;0;2720,816;0
21;4369,721;0;2557,876;0;4369,721;0
22;4233,453;0;2471,998;0;4233,453;0
23;5373,424;0;2318,159;0;5373,424;0
24;5537,437;0;4361,855;0;5537,437;0
25;5318,789;0;2490,403;0;5318,789;0
26;2773,796;0;1847,565;0;2773,796;0
27;2920,452;0;2525,272;0;2920,452;0
28;5344,67;0;2640,043;0;5344,67;0
29;2950,815;0;2201,772;0;2950,815;0
30;5329,398;0;1978,257;0;5329,398;0
31;4196,188;0;2423,92;0;4196,188;0
32;5518,195;0;2170,141;0;5518,195;0
33;4376;0;2005,127;0;4376;0
34;2852,309;0;1954,167;0;2852,309;0
35;5352,163;0;2385,054;0;5352,163;0
36;2962,299;0;2421,655;0;2962,299;0
37;4239,215;0;1986,117;0;4239,215;0
38;2933,632;0;2378,032;0;2933,632;0
39;5222,133;0;1896,271;0;5222,133;0
40;7874,044;0;4574,785;0;7874,044;0
41;4137,81;0;2360,664;0;4137,81;0
42;5338,047;0;2529,262;0;5338,047;0
43;5358,357;0;2066,286;0;5358,357;0
44;4246,952;0;2100,593;0;4246,952;0
45;5344,583;0;2322,189;0;5344,583;0
46;4345,844;0;1852,687;0;4345,844;0
47;5330,713;0;2505,514;0;5330,713;0
48;5337,798;0;2380,182;0;5337,798;0
49;4393,944;0;2465,37;0;4393,944;0
50;2951,438;0;2364,638;0;2951,438;0
51;5320,983;0;2512,469;0;5320,983;0
52;5556,816;0;2296,631;0;5556,816;0
53;4165,406;0;1999,853;0;4165,406;0
54;2895,591;0;2058,927;0;2895,591;0
55;4118,96;0;2330,604;0;4118,96;0
56;4175,845;0;2319,96;0;4175,845;0
57;5320,804;0;2581,728;0;5320,804;0
58;5333,234;0;2684,506;0;5333,234;0
59;4208,206;0;2512,131;0;4208,206;0
60;4205,499;0;2075,65;0;4205,499;0
61;4144,136;0;2390,606;0;4144,136;0
62;5328,859;0;2433,493;0;5328,859;0
63;4384,513;0;2217,053;0;4384,513;0
64;5547,524;0;2470,278;0;5547,524;0
65;4208,475;0;2461,885;0;4208,475;0
66;2935,795;0;2314,592;0;2935,795;0
67;5416,601;0;2237,857;0;5416,601;0
68;5533,534;0;2538,856;0;5533,534;0
69;5553,355;0;3386,605;0;5553,355;0
70;5429,42;0;2359,795;0;5429,42;0
71;8018,099;0;4933,696;0;8018,099;0
72;5293,96;0;2477,987;0;5293,96;0
73;2915,075;0;2248,815;0;2915,075;0
74;2935,871;0;2359,365;0;2935,871;0
75;2947,172;0;2224,545;0;2947,172;0
76;4392,78;0;1655,146;0;4392,78;0
77;2878,665;0;1944,055;0;2878,665;0
78;2964,096;0;2140,29;0;2964,096;0
79;2993,834;0;2414,656;0;2993,834;0
80;5357,306;0;2575,278;0;5357,306;0
81;2773,074;0;2236,775;0;2773,074;0
82;6884,455;0;4816,711;0;6884,455;0
83;2986,693;0;2490,803;0;2986,693;0
84;5265,328;0;2055,893;0;5265,328;0
85;2959,017;0;2295,325;0;2959,017;0
86;2745,693;0;1982,659;0;2745,693;0
87;2791,008;0;2097,943;0;2791,008;0
88;2953,812;0;2582,606;0;2953,812;0
89;5551,126;0;1764,257;0;5551,126;0
90;5409,474;0;2864,564;0;5409,474;0
91;5436,373;0;2172,514;0;5436,373;0
92;5308,605;0;1994,595;0;5308,605;0
93;5515,905;0;2251,061;0;5515,905;0
94;4340,749;0;2492,478;0;4340,749;0
95;2768,363;0;1895;0;2768,363;0
96;5391,075;0;2536,768;0;5391,075;0
97;4190,583;0;2153,288;0;4190,583;0
98;2951,864;0;2452,035;0;2951,864;0
99;2927,863;0;2265,041;0;2927,863;0
100;2878,793;0;2677,833;0;2878,793;0
101;2861,979;0;2466,398;0;2861,979;0
102;4146,468;0;2562,142;0;4146,468;0
103;2869,702;0;1799,37;0;2869,702;0
104;4221,924;0;2143,444;0;4221,924;0
105;2793,978;0;1399,214;0;2793,978;0
106;5517,664;0;2617,343;0;5517,664;0
107;2877,129;0;1423,319;0;2877,129;0
108;5481,139;0;2587,977;0;5481,139;0
109;5542,199;0;4138,997;0;5542,199;0
110;4255,351;0;2605,997;0;4255,351;0
111;2792,412;0;2275,535;0;2792,412;0
112;5390,308;0;2471,685;0;5390,308;0
113;5355,518;0;2322,778;0;5355,518;0
114;2783,94;0;2034,33;0;2783,94;0
115;4363,542;0;1812,619;0;4363,542;0
116;2785,274;0;2206,994;0;2785,274;0
117;5348,859;0;2496,709;0;5348,859;0
118;2853,797;0;2352,623;0;2853,797;0
119;2929,99;0;2578,743;0;2929,99;0
120;4192,403;0;2190,859;0;4192,403;0
121;5388,89;0;2705,717;0;5388,89;0
122;3007,658;0;2469,465;0;3007,658;0
123;2775,398;0;2325,352;0;2775,398;0
124;2991,753;0;2758,657;0;2991,753;0
125;2857,945;0;1689,757;0;2857,945;0
126;2783,385;0;1990,68;0;2783,385;0
127;6859,719;0;4510,138;0;6859,719;0
128;2905,601;0;2182,544;0;2905,601;0
129;2909,182;0;2338,951;0;2909,182;0
130;5351,264;0;2442,532;0;5351,264;0
131;2773,912;0;1967,637;0;2773,912;0
132;4224,939;0;2205,082;0;4224,939;0
133;4246,901;0;2455,322;0;4246,901;0
134;3029,802;0;2222,097;0;3029,802;0
135;2923,156;0;2315,953;0;2923,156;0
136;4173,995;0;2013,162;0;4173,995;0
137;4374,294;0;2326,057;0;4374,294;0
138;4187,312;0;2088,302;0;4187,312;0
139;5503,055;0;4125,362;0;5503,055;0
140;2905,55;0;2002,954;0;2905,55;0
141;5357,255;0;2175,978;0;5357,255;0
142;5352,143;0;2649,4;0;5352,143;0
143;2766,021;0;2179,68;0;2766,021;0
144;2955,566;0;2196,766;0;2955,566;0
145;2978,716;0;2491,411;0;2978,716;0
146;2805,091;0;1983,23;0;2805,091;0
147;4205,882;0;1963,035;0;4205,882;0
148;5405,325;0;2390,397;0;5405,325;0
149;2771,495;0;2107,062;0;2771,495;0
150;4241,949;0;1911,851;0;4241,949;0
151;4410,785;0;2329,035;0;4410,785;0
152;4270,881;0;2278,208;0;4270,881;0
153;5207,952;0;2106,247;0;5207,952;0
154;5353,497;0;2072,707;0;5353,497;0
155;2965,125;0;2309,966;0;2965,125;0
156;2808,417;0;2385,128;0;2808,417;0
157;5219,702;0;2518,838;0;5219,702;0
158;2893,576;0;2241,513;0;2893,576;0
159;4209,51;0;2122,323;0;4209,51;0
160;5332,958;0;2478,375;0;5332,958;0
161;4069,403;0;2184,396;0;4069,403;0
162;2858,769;0;2093,448;0;2858,769;0
163;2896,236;0;1753,279;0;2896,236;0
164;2874,556;0;2231,885;0;2874,556;0
165;4180,358;0;2337,507;0;4180,358;0
166;2827,22;0;2722,449;0;2827,22;0
167;2828,152;0;2295,112;0;2828,152;0
168;5280,362;0;1675,987;0;5280,362;0
169;5550,934;0;2339,96;0;5550,934;0
170;3000,792;0;2174,767;0;3000,792;0
171;2896,405;0;2043,331;0;2896,405;0
172;5328,585;0;2474,5;0;5328,585;0
173;4378,019;0;2046,339;0;4378,019;0
174;2841,847;0;2110,427;0;2841,847;0
175;5437,649;0;2706,109;0;5437,649;0
176;2881,177;0;1981,084;0;2881,177;0
177;2765,701;0;1902,745;0;2765,701;0
178;4177,333;0;1912,858;0;4177,333;0
179;2719,247;0;1783,61;0;2719,247;0
180;4399,118;0;2024,199;0;4399,118;0
181;2866,869;0;2211,973;0;2866,869;0
182;2778,459;0;2019,327;0;2778,459;0
183;2856,595;0;2122,095;0;2856,595;0
184;2846,011;0;2360,956;0;2846,011;0
185;5334,713;0;2131,747;0;5334,713;0
186;2915,31;0;2108,363;0;2915,31;0
187;2801,589;0;2270,416;0;2801,589;0
188;2861,553;0;2289,063;0;2861,553;0
189;2832,622;0;1362,691;0;2832,622;0
190;5377,84;0;2166,259;0;5377,84;0
191;6855,358;0;4349,525;0;6855,358;0
192;5371,672;0;2485,908;0;5371,672;0
193;2800,827;0;2163,325;0;2800,827;0
194;2961,592;0;2395,961;0;2961,592;0
195;2781,865;0;2237,783;0;2781,865;0
196;2837,202;0;2171,907;0;2837,202;0
197;5327,005;0;2309,451;0;5327,005;0
198;2863,724;0;2225,914;0;2863,724;0
199;5482,674;0;2456,608;0;5482,674;0
200;2771,668;0;1443,427;0;2771,668;0
201;2771,227;0;2319,967;0;2771,227;0
202;5436,303;0;1808,252;0;5436,303;0
203;2881,971;0;2238,308;0;2881,971;0
204;2771,153;0;2023,492;0;2771,153;0
205;2920,657;0;2027,593;0;2920,657;0
206;2850,594;0;2420,803;0;2850,594;0
207;5328,085;0;2618,41;0;5328,085;0
208;5441,696;0;2663,762;0;5441,696;0
209;4190,954;0;2164,431;0;4190,954;0
210;2941,109;0;2504,179;0;2941,109;0
211;8064,258;0;2416,826;0;8064,258;0
212;2941,151;0;2450,869;0;2941,151;0
213;5511,541;0;2716,732;0;5511,541;0
214;4203,216;0;2511,103;0;4203,216;0
215;2966,295;0;2515,917;0;2966,295;0
216;5366,498;0;1599,026;0;5366,498;0
217;5222,975;0;2294,52;0;5222,975;0
218;2859,894;0;2275,829;0;2859,894;0
219;2941,718;0;2407,73;0;2941,718;0
220;5376,917;0;2678,531;0;5376,917;0
221;2914,133;0;2212,602;0;2914,133;0
222;2966,111;0;2325,938;0;2966,111;0
223;2972,947;0;2237,19;0;2972,947;0
224;5318,535;0;2505,887;0;5318,535;0
225;4382,402;0;1948,645;0;4382,402;0
226;2805,314;0;2060,295;0;2805,314;0
227;5331,154;0;2433,861;0;5331,154;0
228;4157,956;0;2137,575;0;4157,956;0
229;2780,195;0;2161,784;0;2780,195;0
230;5349,083;0;2454,042;0;5349,083;0
231;2842,569;0;2246,797;0;2842,569;0
232;2845,619;0;1937,481;0;2845,619;0
233;2930,772;0;2138,622;0;2930,772;0
234;4229,25;0;2161,854;0;4229,25;0
235;5512,198;0;2426,466;0;5512,198;0
236;2769,076;0;2197,674;0;2769,076;0
237;2953,924;0;2385,363;0;2953,924;0
238;5208,67;0;2120,425;0;5208,67;0
239;4214,466;0;2354,859;0;4214,466;0
240;6801,832;0;4625,608;0;6801,832;0
241;2956,831;0;2339,064;0;2956,831;0
242;2855,718;0;2098,018;0;2855,718;0
243;4232,384;0;2501,535;0;4232,384;0
244;5258,929;0;2594,019;0;5258,929;0
245;2924,922;0;2484,428;0;2924,922;0
246;2933,693;0;1950,166;0;2933,693;0
247;2818,372;0;2298,613;0;2818,372;0
248;2929,434;0;2355,363;0;2929,434;0
249;4205,417;0;2276,585;0;4205,417;0
250;4147,772;0;2201,452;0;4147,772;0
251;6900,369;0;4430,855;0;6900,369;0
252;4196,185;0;2256,507;0;4196,185;0
253;5340,23;0;2580,494;0;5340,23;0
254;2856,178;0;2593,932;0;2856,178;0
255;2838,893;0;2260,438;0;2838,893;0
256;5286,383;0;2428,758;0;5286,383;0
257;5337,649;0;2563,315;0;5337,649;0
258;5516,131;0;2098,136;0;5516,131;0
259;4240,81;0;2351,85;0;4240,81;0
260;2885,956;0;2425,935;0;2885,956;0
261;2941,264;0;2109,316;0;2941,264;0
262;2698,33;0;1715,886;0;2698,33;0
263;4217,243;0;1737,964;0;4217,243;0
264;2883,289;0;2148,578;0;2883,289;0
265;2797,578;0;2211,356;0;2797,578;0
266;2843,97;0;2429,482;0;2843,97;0
267;5362,615;0;2331,444;0;5362,615;0
268;2794,419;0;2438,65;0;2794,419;0
269;3001,671;0;2281,414;0;3001,671;0
270;5355,323;0;2538,11;0;5355,323;0
271;2779,391;0;1895,318;0;2779,391;0
272;2832,811;0;1713,69;0;2832,811;0
273;4238,478;0;2134,293;0;4238,478;0
274;2882,737;0;2312,413;0;2882,737;0
275;5263,38;0;2451,08;0;5263,38;0
276;4194,334;0;2334,925;0;4194,334;0
277;2792,915;0;2129,333;0;2792,915;0
278;2973,248;0;2100,51;0;2973,248;0
279;5312,599;0;2373,399;0;5312,599;0
280;2902,813;0;2139,399;0;2902,813;0
281;2809,801;0;2242,752;0;2809,801;0
282;4212,567;0;2429,717;0;4212,567;0
283;2909,729;0;2271,19;0;2909,729;0
284;5485,139;0;2380,565;0;5485,139;0
285;5234,115;0;2387,627;0;5234,115;0
286;4230,699;0;2425,545;0;4230,699;0
287;5390,195;0;2369,771;0;5390,195;0
288;2752,891;0;2241,353;0;2752,891;0
289;5355,534;0;2601,384;0;5355,534;0
290;4191,276;0;2324,149;0;4191,276;0
291;5529,221;0;2486,872;0;5529,221;0
292;4143,084;0;2391,918;0;4143,084;0
293;2918,307;0;2381,995;0;2918,307;0
294;2869,423;0;2368,142;0;2869,423;0
295;2967,296;0;2166,038;0;2967,296;0
296;4290,622;0;2205,031;0;4290,622;0
297;2792,656;0;1968,99;0;2792,656;0
298;2828,23;0;2432,001;0;2828,23;0
299;4403,012;0;2354,895;0;4403,012;0
300;4403,012;0;2354,895;0;4403,012;0

