Generation;PopBestRed;PopBestBlue;PopAvgRed;PopAvgBlue;BestOverallRed;BestOverallBlue
0;-1086,238;0;-6932,041;0;-1086,238;0
1;-1084,583;0;-11202,86;0;-1084,583;0
2;-1113,678;0;-10675,7;0;-1113,678;0
3;-1077,02;0;-9186,87;0;-1077,02;0
4;-1080,32;0;-4962,293;0;-1080,32;0
5;3972,384;0;377,0789;0;3972,384;0
6;1492,958;0;-5367,723;0;1492,958;0
7;3943,084;0;398,731;0;3943,084;0
8;-1028,733;0;-7787,846;0;-1028,733;0
9;-1204,458;0;-10158,41;0;-1204,458;0
10;-1104,222;0;-9433,667;0;-1104,222;0
11;-1147,195;0;-6597,443;0;-1147,195;0
12;-1196,239;0;-14570,53;0;-1196,239;0
13;1435,001;0;-4915,06;0;1435,001;0
14;1283,823;0;1130,541;0;1283,823;0
15;-1093,963;0;-7941,665;0;-1093,963;0
16;1231,206;0;-3847,302;0;1231,206;0
17;-1078,03;0;-10266,39;0;-1078,03;0
18;-1182,406;0;-11455,62;0;-1182,406;0
19;-6635,917;0;-16584,71;0;-6635,917;0
20;-3625,313;0;-17138,23;0;-3625,313;0
21;1475,168;0;-7249,687;0;1475,168;0
22;1478,202;0;-2873,345;0;1478,202;0
23;-1133,294;0;-7898,051;0;-1133,294;0
24;3979,252;0;1406,807;0;3979,252;0
25;-1599,206;0;-10037,71;0;-1599,206;0
26;3954,657;0;388,7466;0;3954,657;0
27;3969,761;0;1069,917;0;3969,761;0
28;-1091,415;0;-8482,327;0;-1091,415;0
29;3969,437;0;1389,922;0;3969,437;0
30;1454,015;0;-5888,294;0;1454,015;0
31;1217,557;0;-9389,161;0;1217,557;0
32;1229,444;0;466,7389;0;1229,444;0
33;-13669,85;0;-23630,13;0;-13669,85;0
34;1462,764;0;-6297,856;0;1462,764;0
35;-3652,026;0;-18373,45;0;-3652,026;0
36;3951,55;0;1052,863;0;3951,55;0
37;1268,303;0;459,3594;0;1268,303;0
38;1433,173;0;-9362,308;0;1433,173;0
39;3958,831;0;1304,827;0;3958,831;0
40;1258,389;0;-1189,934;0;1258,389;0
41;3947,792;0;-7174,501;0;3947,792;0
42;-1114,586;0;-7828,888;0;-1114,586;0
43;1236,403;0;-2832,092;0;1236,403;0
44;3929,741;0;1000,727;0;3929,741;0
45;3950,115;0;1109,645;0;3950,115;0
46;6492,777;0;2296,517;0;6492,777;0
47;1335,753;0;979,3329;0;1335,753;0
48;-1053,273;0;-6595,429;0;-1053,273;0
49;1188,815;0;-8766,04;0;1188,815;0
50;-1186,15;0;-13549,17;0;-1186,15;0
51;-3711,607;0;-18169,46;0;-3711,607;0
52;-1614,845;0;-10776,17;0;-1614,845;0
53;1437,842;0;-6001,392;0;1437,842;0
54;1272,946;0;-587,6573;0;1272,946;0
55;3971,425;0;-867,4969;0;3971,425;0
56;880,4702;0;-7706,043;0;880,4702;0
57;-1112,214;0;-7045,909;0;-1112,214;0
58;3988,368;0;228,605;0;3988,368;0
59;1206,626;0;-15497;0;1206,626;0
60;1408,501;0;-8796,521;0;1408,501;0
61;1332,625;0;-153,5992;0;1332,625;0
62;1449,347;0;-9160,237;0;1449,347;0
63;3929,775;0;661,7239;0;3929,775;0
64;1419,338;0;-10585,51;0;1419,338;0
65;928,8236;0;-10180,67;0;928,8236;0
66;-3570,047;0;-13744,94;0;-3570,047;0
67;1413,202;0;-7129,408;0;1413,202;0
68;1270,842;0;764,4669;0;1270,842;0
69;877,6328;0;-7176,771;0;877,6328;0
70;606,0867;0;-12486,11;0;606,0867;0
71;1308,532;0;-873,5392;0;1308,532;0
72;3912,057;0;-9802,479;0;3912,057;0
73;1437,45;0;-8939,457;0;1437,45;0
74;1405,096;0;-4605,927;0;1405,096;0
75;3427,937;0;-28,86647;0;3427,937;0
76;-1122,989;0;-6521,443;0;-1122,989;0
77;3358,103;0;-8645,125;0;3358,103;0
78;-1167,08;0;-11165,57;0;-1167,08;0
79;1407,825;0;-12215,78;0;1407,825;0
80;1404,264;0;-9370,556;0;1404,264;0
81;1424,669;0;-8559,915;0;1424,669;0
82;1428,995;0;-7121,848;0;1428,995;0
83;1222,119;0;-1321,877;0;1222,119;0
84;3979,268;0;-513,7935;0;3979,268;0
85;1463,944;0;-6722,839;0;1463,944;0
86;1252,817;0;-424,6563;0;1252,817;0
87;1441,912;0;-7105,52;0;1441,912;0
88;1432,535;0;-6645,298;0;1432,535;0
89;1175,21;0;-7816,284;0;1175,21;0
90;-1163,041;0;-12292,99;0;-1163,041;0
91;1398,537;0;-9612,479;0;1398,537;0
92;886,7305;0;-8053,572;0;886,7305;0
93;3893,786;0;-8878,738;0;3893,786;0
94;1426,359;0;-7488,952;0;1426,359;0
95;1467,407;0;-2598,451;0;1467,407;0
96;3919,255;0;-1573,405;0;3919,255;0
97;1432,418;0;-8507,215;0;1432,418;0
98;1465,814;0;-8687,619;0;1465,814;0
99;-1065,023;0;-7330,724;0;-1065,023;0
100;1435,13;0;-7520,557;0;1435,13;0
101;1418,738;0;-6472,06;0;1418,738;0
102;1437,697;0;-3695,215;0;1437,697;0
103;3947,958;0;-23,05021;0;3947,958;0
104;1231,288;0;-11878,95;0;1231,288;0
105;1392,448;0;-13245,55;0;1392,448;0
106;3945,827;0;328,5946;0;3945,827;0
107;1206,049;0;-1017,764;0;1206,049;0
108;1427,231;0;-9119,599;0;1427,231;0
109;1452,869;0;-9303,692;0;1452,869;0
110;1257,561;0;505,794;0;1257,561;0
111;-1098,978;0;-10781,32;0;-1098,978;0
112;1225,582;0;-207,0815;0;1225,582;0
113;-1037,348;0;-8520,017;0;-1037,348;0
114;6469,264;0;762,3152;0;6469,264;0
115;1230,336;0;-9391,859;0;1230,336;0
116;1434,402;0;-12790,46;0;1434,402;0
117;-1116,91;0;-11696,04;0;-1116,91;0
118;1278,829;0;-899,0483;0;1278,829;0
119;-1087,793;0;-10115,94;0;-1087,793;0
120;-1099,465;0;-12784,37;0;-1099,465;0
121;1298,884;0;987,0092;0;1298,884;0
122;633,1076;0;-10773,21;0;633,1076;0
123;-1135,072;0;-5671,619;0;-1135,072;0
124;1467,481;0;-5773,418;0;1467,481;0
125;923,9009;0;-4201,902;0;923,9009;0
126;-1136,78;0;-6962,052;0;-1136,78;0
127;1225,787;0;-783,9622;0;1225,787;0
128;3957,438;0;1107,348;0;3957,438;0
129;3918,872;0;-1582,312;0;3918,872;0
130;-1082,38;0;-9358,151;0;-1082,38;0
131;3953,716;0;1074,231;0;3953,716;0
132;1218,561;0;-7962,274;0;1218,561;0
133;-1125,353;0;-6667,875;0;-1125,353;0
134;1433,823;0;-9190,323;0;1433,823;0
135;5946,308;0;-143,96;0;5946,308;0
136;-3625,178;0;-10410,91;0;-3625,178;0
137;3910,425;0;-1193,217;0;3910,425;0
138;1181,206;0;-9739,365;0;1181,206;0
139;-3560,468;0;-9757,433;0;-3560,468;0
140;-3584,817;0;-10885,73;0;-3584,817;0
141;1447,742;0;-6123,451;0;1447,742;0
142;-1160,481;0;-7481,009;0;-1160,481;0
143;1411,369;0;-5415,905;0;1411,369;0
144;-1084,413;0;-9192,098;0;-1084,413;0
145;-1023,907;0;-5848,652;0;-1023,907;0
146;-1085,33;0;-6855,182;0;-1085,33;0
147;895,8752;0;-6005,324;0;895,8752;0
148;3942,25;0;-163,673;0;3942,25;0
149;-1091,501;0;-11035,15;0;-1091,501;0
150;1221,887;0;573,8204;0;1221,887;0
151;1409,159;0;-4223,801;0;1409,159;0
152;3917,063;0;-5683,581;0;3917,063;0
153;3945,7;0;-3813,53;0;3945,7;0
154;-1659,654;0;-9936,383;0;-1659,654;0
155;-1100,709;0;-10467,9;0;-1100,709;0
156;-1166,18;0;-6670,898;0;-1166,18;0
157;-1086,151;0;-9144,792;0;-1086,151;0
158;1443,483;0;-6212,587;0;1443,483;0
159;-1080,703;0;-13665,5;0;-1080,703;0
160;1419,057;0;-8154,171;0;1419,057;0
161;624,1158;0;-9339,986;0;624,1158;0
162;-3572,344;0;-14680,86;0;-3572,344;0
163;-1036,505;0;-7455,777;0;-1036,505;0
164;-1099,347;0;-9177,746;0;-1099,347;0
165;-1088,254;0;-10103,72;0;-1088,254;0
166;-1274,75;0;-10989,49;0;-1274,75;0
167;4004,267;0;719,6407;0;4004,267;0
168;3926,04;0;-5349,977;0;3926,04;0
169;3921,961;0;567,785;0;3921,961;0
170;-1572,927;0;-8152,362;0;-1572,927;0
171;-1008,19;0;-6839,235;0;-1008,19;0
172;-1106,917;0;-7504,818;0;-1106,917;0
173;1407,301;0;-8058,162;0;1407,301;0
174;-1109,683;0;-11611,74;0;-1109,683;0
175;859,2744;0;-9536,939;0;859,2744;0
176;1433,723;0;-4616,609;0;1433,723;0
177;-1101,136;0;-8450,146;0;-1101,136;0
178;-1102,805;0;-13839,27;0;-1102,805;0
179;-1078,346;0;-9076,795;0;-1078,346;0
180;1233,694;0;-130,4196;0;1233,694;0
181;1237,5;0;905,6539;0;1237,5;0
182;1395,305;0;-15824,87;0;1395,305;0
183;3463,743;0;-5126,757;0;3463,743;0
184;-6095,577;0;-20014,3;0;-6095,577;0
185;-1130,264;0;-10203,33;0;-1130,264;0
186;-3655,853;0;-14251,12;0;-3655,853;0
187;3978,514;0;707,9437;0;3978,514;0
188;1408,143;0;-6574,464;0;1408,143;0
189;1119,806;0;-4898,964;0;1119,806;0
190;-1075,101;0;-10837,76;0;-1075,101;0
191;-1635,141;0;-10102,13;0;-1635,141;0
192;6481,325;0;1820,213;0;6481,325;0
193;5910,359;0;-218,9988;0;5910,359;0
194;3960,816;0;-5108,799;0;3960,816;0
195;3980,921;0;-847,9128;0;3980,921;0
196;867,5347;0;-6822,715;0;867,5347;0
197;1236,214;0;682,3406;0;1236,214;0
198;-1151,614;0;-11772,77;0;-1151,614;0
199;1445,825;0;-1068,845;0;1445,825;0
200;1227,453;0;-1476,767;0;1227,453;0
201;1427,907;0;-12811,76;0;1427,907;0
202;868,2983;0;-9683,343;0;868,2983;0
203;-1077,613;0;-7099,415;0;-1077,613;0
204;3931,7;0;675,3153;0;3931,7;0
205;-1057,713;0;-8918,564;0;-1057,713;0
206;-1069,057;0;-6350,557;0;-1069,057;0
207;1446,06;0;-6684,475;0;1446,06;0
208;1243,341;0;-765,8576;0;1243,341;0
209;-1099,052;0;-3748,159;0;-1099,052;0
210;1406,48;0;-5507,735;0;1406,48;0
211;-4119,864;0;-15600,66;0;-4119,864;0
212;-1058,037;0;-14973,4;0;-1058,037;0
213;3405,225;0;-8316,373;0;3405,225;0
214;861,4006;0;-9084,06;0;861,4006;0
215;-1689,682;0;-11636,37;0;-1689,682;0
216;1221,416;0;-7974,027;0;1221,416;0
217;-3606,599;0;-13650;0;-3606,599;0
218;1399,129;0;-12534,17;0;1399,129;0
219;3936,258;0;1336,838;0;3936,258;0
220;-1077,596;0;-7079,439;0;-1077,596;0
221;-1647,978;0;-11336,34;0;-1647,978;0
222;-1629,096;0;-10684,76;0;-1629,096;0
223;-1047,199;0;-8894,283;0;-1047,199;0
224;1435,451;0;-7114,297;0;1435,451;0
225;1453,314;0;-6915,574;0;1453,314;0
226;3949,289;0;-592,772;0;3949,289;0
227;-3602,858;0;-16387,9;0;-3602,858;0
228;1430,017;0;-9824,171;0;1430,017;0
229;1454,365;0;-6085,536;0;1454,365;0
230;-1099,146;0;-11648,91;0;-1099,146;0
231;-1114,572;0;-4226,412;0;-1114,572;0
232;1408,099;0;-7992,443;0;1408,099;0
233;1421,956;0;-9201,687;0;1421,956;0
234;3907,964;0;-9026,464;0;3907,964;0
235;-999,7588;0;-9140,801;0;-999,7588;0
236;1415,715;0;-5902,083;0;1415,715;0
237;-1180,203;0;-15328,18;0;-1180,203;0
238;-1079,271;0;-16958,29;0;-1079,271;0
239;1420,524;0;-6757,373;0;1420,524;0
240;672,4665;0;-9955,948;0;672,4665;0
241;1206,617;0;453,0882;0;1206,617;0
242;-3579,316;0;-11282,21;0;-3579,316;0
243;3917,083;0;-2079,279;0;3917,083;0
244;1227,566;0;-1485,465;0;1227,566;0
245;868,843;0;-11701,69;0;868,843;0
246;1209,339;0;-1874,464;0;1209,339;0
247;1217,495;0;338,2587;0;1217,495;0
248;623,871;0;-11160,03;0;623,871;0
249;909,897;0;-9522,48;0;909,897;0
250;1435,862;0;-7921,402;0;1435,862;0
251;1197,206;0;-614,5596;0;1197,206;0
252;1245,597;0;976,6033;0;1245,597;0
253;-1098,31;0;-10945,49;0;-1098,31;0
254;3945,213;0;446,8097;0;3945,213;0
255;1377,089;0;-7179,298;0;1377,089;0
256;905,5175;0;-8562,671;0;905,5175;0
257;597,2354;0;-9394,195;0;597,2354;0
258;-1146,861;0;-8820,868;0;-1146,861;0
259;1387,871;0;-7338,363;0;1387,871;0
260;1228,728;0;337,2977;0;1228,728;0
261;1224,041;0;-7373,249;0;1224,041;0
262;698,1527;0;-6125,146;0;698,1527;0
263;-3686,585;0;-15876,66;0;-3686,585;0
264;1392,836;0;-7676,838;0;1392,836;0
265;1412,68;0;-8993,677;0;1412,68;0
266;-3584,65;0;-10959,45;0;-3584,65;0
267;-3697,565;0;-15752,13;0;-3697,565;0
268;-1060,743;0;-6343,649;0;-1060,743;0
269;-1607,91;0;-11541,04;0;-1607,91;0
270;1394,591;0;-6660,767;0;1394,591;0
271;-1064,508;0;-8980,606;0;-1064,508;0
272;1231,752;0;414,6427;0;1231,752;0
273;-3502,954;0;-11199,41;0;-3502,954;0
274;3417,129;0;-101,2246;0;3417,129;0
275;-1123,624;0;-9767,834;0;-1123,624;0
276;-1108,347;0;-9586,067;0;-1108,347;0
277;5930,784;0;-392,9606;0;5930,784;0
278;-1063,506;0;-7990,109;0;-1063,506;0
279;1189,395;0;-8902,163;0;1189,395;0
280;-3657,362;0;-11096,21;0;-3657,362;0
281;1416,142;0;-7929,074;0;1416,142;0
282;-1115,958;0;-4093,726;0;-1115,958;0
283;1433,703;0;-7176,623;0;1433,703;0
284;-1158,677;0;-6648,109;0;-1158,677;0
285;-1554,252;0;-8211,373;0;-1554,252;0
286;3910,102;0;-2649,357;0;3910,102;0
287;-1168,84;0;-12487,4;0;-1168,84;0
288;1241,037;0;-974,7214;0;1241,037;0
289;-1061,284;0;-12733,37;0;-1061,284;0
290;3956,107;0;243,8402;0;3956,107;0
291;1396,61;0;-7256,876;0;1396,61;0
292;922,8582;0;-6601,073;0;922,8582;0
293;1261,122;0;-395,2436;0;1261,122;0
294;1441,523;0;-3641,671;0;1441,523;0
295;3971,638;0;-311,0378;0;3971,638;0
296;3882,734;0;-6771,246;0;3882,734;0
297;-3644,253;0;-16014,92;0;-3644,253;0
298;3959,878;0;-927,4297;0;3959,878;0
299;-1615,395;0;-13381,5;0;-1615,395;0
300;1419,335;0;-7204,917;0;1419,335;0
301;1227,999;0;-2128,074;0;1227,999;0
302;1239,413;0;-4068,928;0;1239,413;0
303;1418,33;0;-5708,358;0;1418,33;0
304;-1067,405;0;-4979,069;0;-1067,405;0
305;-3598,817;0;-12319,08;0;-3598,817;0
306;-971,7231;0;-7141,323;0;-971,7231;0
307;1417,809;0;-7044,403;0;1417,809;0
308;3922,684;0;754,5964;0;3922,684;0
309;3413,404;0;-1892,72;0;3413,404;0
310;-1091,67;0;-10263,64;0;-1091,67;0
311;-1030,714;0;-7653,485;0;-1030,714;0
312;-1128,405;0;-5565,688;0;-1128,405;0
313;6488,582;0;1635,118;0;6488,582;0
314;-3623,429;0;-11656,17;0;-3623,429;0
315;3967,931;0;-628,6735;0;3967,931;0
316;-1120,984;0;-6401,921;0;-1120,984;0
317;3949,836;0;-112,112;0;3949,836;0
318;1374,55;0;-7845,593;0;1374,55;0
319;6467,552;0;-372,3705;0;6467,552;0
320;1420,746;0;-5750,235;0;1420,746;0
321;6450,17;0;-836,5936;0;6450,17;0
322;6449,003;0;-507,5631;0;6449,003;0
323;-1079,175;0;-6872,958;0;-1079,175;0
324;3915,994;0;-890,2132;0;3915,994;0
325;-1120,5;0;-7983,308;0;-1120,5;0
326;1442,927;0;-5426,162;0;1442,927;0
