Generation;PopBestRed;PopBestBlue;PopAvgRed;PopAvgBlue;BestOverallRed;BestOverallBlue
0;1819,597;0;660,8245;0;1819,597;0
1;1819,597;0;709,5488;0;1819,597;0
2;1819,597;0;689,6799;0;1819,597;0
3;2445,144;0;781,5311;0;2445,144;0
4;3132,16;0;903,7698;0;3132,16;0
5;3587,768;0;1113,099;0;3587,768;0
6;4075,43;0;1442,957;0;4075,43;0
7;4075,429;0;1291,335;0;4075,43;0
8;4071,908;0;1783,706;0;4075,43;0
9;4075,439;0;1688,933;0;4075,439;0
10;4075,439;0;2062,776;0;4075,439;0
11;4075,943;0;2562,444;0;4075,943;0
12;4080,542;0;2907,861;0;4080,542;0
13;4083,255;0;3621,572;0;4083,255;0
14;4088,545;0;3438,919;0;4088,545;0
15;4090,363;0;3750,72;0;4090,363;0
16;4090,358;0;3873,454;0;4090,363;0
17;5231,026;0;3976,699;0;5231,026;0
18;4087,422;0;3927,474;0;5231,026;0
19;5230,901;0;4016,339;0;5231,026;0
20;5231,016;0;4064,983;0;5231,026;0
21;5231,027;0;4056,679;0;5231,027;0
22;4088,931;0;4040,48;0;5231,027;0
23;4087,582;0;4051,086;0;5231,027;0
24;5231,027;0;4113,976;0;5231,027;0
25;5242,335;0;4120,371;0;5242,335;0
26;5242,418;0;4270,274;0;5242,418;0
27;5243,978;0;4181,432;0;5243,978;0
28;5243,981;0;4319,221;0;5243,981;0
29;5244,032;0;4308,135;0;5244,032;0
30;5244,042;0;4455,913;0;5244,042;0
31;5243,097;0;4352,266;0;5244,042;0
32;5243,783;0;4432,024;0;5244,042;0
33;5252,643;0;4850,246;0;5252,643;0
34;5260,245;0;4796,069;0;5260,245;0
35;5267,319;0;4604,456;0;5267,319;0
36;5267,413;0;4674,971;0;5267,413;0
37;5268,52;0;4555,147;0;5268,52;0
38;5274,66;0;4602,059;0;5274,66;0
39;5300,174;0;4324,807;0;5300,174;0
40;5300,162;0;4499,826;0;5300,174;0
41;5320,359;0;4616,34;0;5320,359;0
42;5317,944;0;4564,982;0;5320,359;0
43;5326,32;0;4705,837;0;5326,32;0
44;5330,984;0;4624,73;0;5330,984;0
45;5324,034;0;4656,936;0;5330,984;0
46;5656,255;0;4627,893;0;5656,255;0
47;5659,874;0;4706,171;0;5659,874;0
48;5703,942;0;4871,24;0;5703,942;0
49;5697,978;0;4566,585;0;5703,942;0
50;5697,978;0;4705,696;0;5703,942;0
51;5699,613;0;4520,21;0;5703,942;0
52;5699,613;0;4573,607;0;5703,942;0
53;5697,996;0;4525,051;0;5703,942;0
54;5697,978;0;4628,457;0;5703,942;0
55;5697,978;0;4342,338;0;5703,942;0
56;5699,614;0;4176,405;0;5703,942;0
57;5697,978;0;4497,754;0;5703,942;0
58;5697,978;0;3716,477;0;5703,942;0
59;5697,978;0;4216,537;0;5703,942;0
60;5699,613;0;4237,103;0;5703,942;0
61;5699,789;0;4317,084;0;5703,942;0
62;5747,148;0;4347,922;0;5747,148;0
63;5758,594;0;4088,775;0;5758,594;0
64;5758,725;0;4378,073;0;5758,725;0
65;5756,844;0;3913,915;0;5758,725;0
66;5817,642;0;4515,778;0;5817,642;0
67;5832,496;0;4550,405;0;5832,496;0
68;5842,127;0;4471,193;0;5842,127;0
69;5834,083;0;4149,771;0;5842,127;0
70;5834,083;0;3962,018;0;5842,127;0
71;5842,127;0;4187,704;0;5842,127;0
72;5842,125;0;4156,171;0;5842,127;0
73;5835,103;0;4449,957;0;5842,127;0
74;5834,083;0;4631,575;0;5842,127;0
75;5834,083;0;4204,081;0;5842,127;0
76;5842,121;0;3984,012;0;5842,127;0
77;5834,083;0;4097,691;0;5842,127;0
78;5834,083;0;3927,354;0;5842,127;0
79;5834,083;0;4066,697;0;5842,127;0
80;5842,122;0;4251,982;0;5842,127;0
81;5834,083;0;4613,022;0;5842,127;0
82;5834,083;0;4289,154;0;5842,127;0
83;5838,374;0;4740,144;0;5842,127;0
84;5842,125;0;4785,253;0;5842,127;0
85;5834,083;0;4445,19;0;5842,127;0
86;5834,083;0;4080,841;0;5842,127;0
