Generation,PopBestRed,PopBestBlue,PopAvgRed,PopAvgBlue,BestOverallRed,BestOverallBlue
0,-876.1766,0,-15838.08,0,-876.1766,0
1,-876.1766,0,-11556.18,0,-876.1766,0
2,-876.1765,0,-18752.37,0,-876.1765,0
3,10844.66,0,-15799.95,0,10844.66,0
4,11524.66,0,-10784.71,0,11524.66,0
5,8204.236,0,-19849.5,0,11524.66,0
6,8204.236,0,-13411.4,0,11524.66,0
7,8204.236,0,-11982.83,0,11524.66,0
8,11524.66,0,-10708.52,0,11524.66,0
9,8204.236,0,-11110.45,0,11524.66,0
10,8204.236,0,-7752.348,0,11524.66,0
11,8204.236,0,-10474.25,0,11524.66,0
12,11524.66,0,-9036.139,0,11524.66,0
13,8204.236,0,-10093.3,0,11524.66,0
14,8204.236,0,-12805.69,0,11524.66,0
15,8204.236,0,-9194.257,0,11524.66,0
16,11524.66,0,-8247.568,0,11524.66,0
17,8204.236,0,-8525.683,0,11524.66,0
18,8204.236,0,-7222.824,0,11524.66,0
19,8204.236,0,-6230.444,0,11524.66,0
20,11524.66,0,-5043.757,0,11524.66,0
21,11524.66,0,-9584.711,0,11524.66,0
22,8204.236,0,-5786.633,0,11524.66,0
23,8204.236,0,-14001.88,0,11524.66,0
24,11524.66,0,-11834.24,0,11524.66,0
25,8204.236,0,-9725.686,0,11524.66,0
26,8204.236,0,-5630.444,0,11524.66,0
27,11524.66,0,-9144.711,0,11524.66,0
28,11524.66,0,-10931.38,0,11524.66,0
29,8204.236,0,-9087.592,0,11524.66,0
30,8204.235,0,-9142.83,0,11524.66,0
31,11524.66,0,-5836.143,0,11524.66,0
32,11524.66,0,-11133.29,0,11524.66,0
33,8204.236,0,-7274.255,0,11524.66,0
34,8204.236,0,-15287.59,0,11524.66,0
35,8204.236,0,-7175.21,0,11524.66,0
36,11524.66,0,-6340.904,0,11524.66,0
37,8204.236,0,-7013.307,0,11524.66,0
38,8204.236,0,-8236.165,0,11524.66,0
39,8204.236,0,-7110.447,0,11524.66,0
40,11444.66,0,-12794.24,0,11524.66,0
41,8204.236,0,-8558.067,0,11524.66,0
42,8204.236,0,-7839.971,0,11524.66,0
43,8204.236,0,-9228.543,0,11524.66,0
44,11524.66,0,-12803.76,0,11524.66,0
45,8204.236,0,-9409.501,0,11524.66,0
46,8204.236,0,-11144.74,0,11524.66,0
47,11524.66,0,-6428.524,0,11524.66,0
48,11524.66,0,-6657.097,0,11524.66,0
49,8204.236,0,-9097.118,0,11524.66,0
50,8204.235,0,-5259.021,0,11524.66,0
51,11524.66,0,-7944.715,0,11524.66,0
52,11524.66,0,-5401.855,0,11524.66,0
53,8204.236,0,-5089.496,0,11524.66,0
54,8204.236,0,-5312.354,0,11524.66,0
55,8204.236,0,-6163.781,0,11524.66,0
56,11524.66,0,-6638.045,0,11524.66,0
57,8204.236,0,-6822.828,0,11524.66,0
58,8204.236,0,-5615.21,0,11524.66,0
59,8204.236,0,-7455.209,0,11524.66,0
60,12124.66,0,-8060.903,0,12124.66,0
61,4003.816,0,-6615.229,0,12124.66,0
62,10363.92,0,-7009.511,0,12124.66,0
63,2003.817,0,-9039.993,0,12124.66,0
64,2843.816,0,-8020.946,0,12124.66,0
65,4883.816,0,-7820.947,0,12124.66,0
66,3563.816,0,-5152.375,0,12124.66,0
67,3243.817,0,-10417.14,0,12124.66,0
68,6843.92,0,-7161.895,0,12124.66,0
69,10924.03,0,-6247.601,0,12124.66,0
70,3683.816,0,-9241.896,0,12124.66,0
71,3243.816,0,-6388.562,0,12124.66,0
72,4563.816,0,-5948.561,0,12124.66,0
73,1043.817,0,-9026.658,0,12124.66,0
74,3843.816,0,-15211.42,0,12124.66,0
75,5403.815,0,-12051.42,0,12124.66,0
76,3043.816,0,-10980.94,0,12124.66,0
77,5203.816,0,-10230.46,0,12124.66,0
