Generation,PopBestRed,PopBestBlue,PopAvgRed,PopAvgBlue,BestOverallRed,BestOverallBlue
0,-2396.185,0,-13104.75,0,-2396.185,0
1,-1036.183,0,-15262.85,0,-1036.183,0
2,483.8163,0,-12980.95,0,483.8163,0
3,483.8163,0,-15093.33,0,483.8163,0
4,12523.81,0,-19544.76,0,12523.81,0
5,11803.81,0,-19049.52,0,12523.81,0
6,11803.81,0,-12059.04,0,12523.81,0
7,11803.81,0,-11354.28,0,12523.81,0
8,13083.81,0,-14704.76,0,13083.81,0
9,11803.81,0,-9773.328,0,13083.81,0
10,11763.81,0,-10880,0,13083.81,0
11,11803.81,0,-11878.09,0,13083.81,0
12,12963.81,0,-10897.14,0,13083.81,0
13,11803.81,0,-7220.941,0,13083.81,0
14,11803.81,0,-13159.99,0,13083.81,0
15,11803.81,0,-9203.8,0,13083.81,0
16,12963.81,0,-15297.14,0,13083.81,0
17,11803.81,0,-18062.85,0,13083.81,0
18,11803.81,0,-11154.28,0,13083.81,0
19,11803.81,0,-10403.8,0,13083.81,0
20,12483.81,0,-8497.136,0,13083.81,0
21,12963.81,0,-8514.279,0,13083.81,0
22,11803.81,0,-9099.04,0,13083.81,0
23,11803.81,0,-11811.42,0,13083.81,0
24,12963.81,0,-6925.706,0,13083.81,0
25,11803.81,0,-5977.134,0,13083.81,0
26,11803.81,0,-7693.326,0,13083.81,0
27,12963.81,0,-9293.326,0,13083.81,0
28,12003.81,0,-7390.468,0,13083.81,0
29,11803.81,0,-10367.62,0,13083.81,0
30,11683.81,0,-6180.947,0,13083.81,0
31,12963.81,0,-8348.564,0,13083.81,0
32,12963.81,0,-8889.517,0,13083.81,0
33,11803.81,0,-9426.66,0,13083.81,0
34,11803.81,0,-5386.657,0,13083.81,0
35,11763.81,0,-9449.514,0,13083.81,0
36,12963.81,0,-7142.849,0,13083.81,0
37,11803.81,0,-5954.276,0,13083.81,0
38,11803.81,0,-6931.419,0,13083.81,0
39,11803.81,0,-10243.8,0,13083.81,0
40,12523.81,0,-8129.515,0,13083.81,0
41,11763.81,0,-9683.804,0,13083.81,0
42,11803.81,0,-9716.184,0,13083.81,0
43,11803.81,0,-10276.18,0,13083.81,0
44,12963.81,0,-13163.8,0,13083.81,0
45,11763.81,0,-11019.04,0,13083.81,0
46,11803.81,0,-6786.658,0,13083.81,0
47,12963.81,0,-11592.37,0,13083.81,0
48,12963.81,0,-9567.613,0,13083.81,0
49,11803.81,0,-13817.14,0,13083.81,0
50,11803.81,0,-7678.088,0,13083.81,0
51,12963.81,0,-9194.279,0,13083.81,0
52,12963.81,0,-14230.47,0,13083.81,0
53,11803.81,0,-14466.66,0,13083.81,0
54,11803.81,0,-10605.71,0,13083.81,0
55,11763.81,0,-4539.04,0,13083.81,0
56,12963.81,0,-9104.755,0,13083.81,0
57,11803.81,0,-10708.56,0,13083.81,0
58,11803.81,0,-12064.75,0,13083.81,0
59,11803.81,0,-10232.37,0,13083.81,0
60,12963.81,0,-14664.76,0,13083.81,0
61,11803.81,0,-5817.132,0,13083.81,0
62,11803.81,0,-6883.799,0,13083.81,0
63,11803.81,0,-6179.037,0,13083.81,0
64,12963.81,0,-9950.467,0,13083.81,0
65,11803.81,0,-8828.565,0,13083.81,0
66,11803.81,0,-8097.138,0,13083.81,0
67,12963.81,0,-7999.992,0,13083.81,0
68,12963.81,0,-8925.708,0,13083.81,0
69,11763.81,0,-7643.801,0,13083.81,0
70,11883.81,0,-8558.086,0,13083.81,0
71,-4556.183,0,-6179.036,0,13083.81,0
72,-716.1863,0,-7281.895,0,13083.81,0
73,-3036.185,0,-8436.179,0,13083.81,0
74,12443.81,0,-5051.417,0,13083.81,0
75,16284.13,0,-9297.122,0,16284.13,0
76,11603.81,0,-5788.564,0,16284.13,0
77,17324.23,0,-7731.4,0,17324.23,0
78,-4916.176,0,-13660.95,0,17324.23,0
79,-2796.177,0,-11744.75,0,17324.23,0
80,11283.81,0,-7849.516,0,17324.23,0
81,-1356.184,0,-10590.47,0,17324.23,0
82,-1876.181,0,-12839.99,0,17324.23,0
83,9043.813,0,-9144.755,0,17324.23,0
84,-1596.184,0,-9327.612,0,17324.23,0
85,-716.1811,0,-14737.14,0,17324.23,0
86,-2556.176,0,-7714.274,0,17324.23,0
87,-4876.179,0,-7914.275,0,17324.23,0
88,9203.813,0,-9272.373,0,17324.23,0
89,-4636.185,0,-10022.85,0,17324.23,0
90,11723.81,0,-5119.99,0,17324.23,0
91,683.8172,0,-7843.804,0,17324.23,0
92,-556.187,0,-13144.76,0,17324.23,0
93,11523.81,0,-6401.897,0,17324.23,0
94,17764.23,0,-5904.733,0,17764.23,0
95,11963.81,0,-15693.33,0,17764.23,0
96,17364.13,0,-9108.55,0,17764.23,0
97,7603.812,0,-12167.61,0,17764.23,0
98,-2916.187,0,-13017.14,0,17764.23,0
99,17404.13,0,-12872.36,0,17764.23,0
100,11283.81,0,-5750.466,0,17764.23,0
101,9203.813,0,-12280,0,17764.23,0
102,11963.81,0,-8337.138,0,17764.23,0
103,-1836.18,0,-14000,0,17764.23,0
104,-4636.185,0,-10998.09,0,17764.23,0
105,12243.81,0,-6291.425,0,17764.23,0
106,7123.813,0,-6140.946,0,17764.23,0
107,-4876.181,0,-7799.992,0,17764.23,0
108,11523.81,0,-5291.418,0,17764.23,0
109,-4876.172,0,-9070.465,0,17764.23,0
110,11963.81,0,-4866.657,0,17764.23,0
111,-3716.183,0,-7788.56,0,17764.23,0
112,-2796.184,0,-6211.417,0,17764.23,0
113,-4676.188,0,-8198.085,0,17764.23,0
114,-2916.185,0,-5535.229,0,17764.23,0
115,17044.13,0,-6474.261,0,17764.23,0
116,11283.81,0,-8159.993,0,17764.23,0
117,12403.81,0,-9855.232,0,17764.23,0
118,17364.13,0,-11761.88,0,17764.23,0
119,-716.1843,0,-6820.94,0,17764.23,0
120,13683.81,0,-5171.418,0,17764.23,0
121,12683.81,0,-8904.755,0,17764.23,0
122,11283.81,0,-8325.705,0,17764.23,0
123,-796.1797,0,-7177.133,0,17764.23,0
124,-3036.179,0,-7999.99,0,17764.23,0
125,-4916.177,0,-10139.04,0,17764.23,0
126,-4956.175,0,-11828.56,0,17764.23,0
127,-4716.184,0,-7622.848,0,17764.23,0
128,7683.813,0,-8148.564,0,17764.23,0
129,-4636.178,0,-8685.709,0,17764.23,0
130,-2476.174,0,-9803.802,0,17764.23,0
131,-1956.176,0,-8897.134,0,17764.23,0
132,-1836.175,0,-13506.66,0,17764.23,0
133,13323.81,0,-13293.32,0,17764.23,0
134,-4916.181,0,-17963.81,0,17764.23,0
135,5643.821,0,-8584.752,0,17764.23,0
136,-4876.175,0,-8129.515,0,17764.23,0
137,11963.81,0,-9272.372,0,17764.23,0
138,11323.92,0,-7163.795,0,17764.23,0
139,-4716.19,0,-10860.95,0,17764.23,0
140,12163.81,0,-9420.949,0,17764.23,0
141,12403.81,0,-8215.23,0,17764.23,0
142,-4476.187,0,-13889.52,0,17764.23,0
143,-1916.186,0,-12198.09,0,17764.23,0
144,-2756.183,0,-12479.99,0,17764.23,0
145,11923.81,0,-12318.09,0,17764.23,0
146,4243.815,0,-8845.706,0,17764.23,0
147,-1796.182,0,-10314.28,0,17764.23,0
148,9363.813,0,-7838.085,0,17764.23,0
149,-2836.184,0,-7110.465,0,17764.23,0
150,11723.81,0,-9161.896,0,17764.23,0
151,12083.81,0,-10839.99,0,17764.23,0
152,9483.813,0,-8401.895,0,17764.23,0
153,-2836.184,0,-16561.9,0,17764.23,0
154,-3516.186,0,-13205.71,0,17764.23,0
155,-2556.186,0,-16615.23,0,17764.23,0
156,-2876.181,0,-6470.464,0,17764.23,0
157,-2796.179,0,-7937.134,0,17764.23,0
158,-1956.177,0,-8737.135,0,17764.23,0
159,-2756.184,0,-18906.66,0,17764.23,0
160,12123.81,0,-13720,0,17764.23,0
